Datum;Snowfall;Clouds;Sunshine ;Stadt
18.01.17;0.00;93.21;38.30;HH
19.01.17;0.00;100;0.00;Hamburg
20.01.17;0.00;100;0.00;Hamburg
21.01.17;0.00;100;0.00;Hamburg
22.01.17;0.00;60.20;317.10;Hamburg
23.01.17;0.00;100;0.00;Hamburg
24.01.17;0.00;100;0.00;Hamburg
25.01.17;0.00;59.50;283.10;Hamburg
26.01.17;0.00;54.50;219.91;Hamburg
27.01.17;0.00;6.00;558.11;Hamburg
28.01.17;0.00;13.58;495.77;Hamburg
29.01.17;0.00;99.96;0.00;Hamburg
30.01.17;0.56;100;0.00;Hamburg
31.01.17;0.00;100;0.00;Hamburg
01.02.17;0.00;50.96;296.70;Hamburg
02.02.17;0.00;88.38;105.27;Hamburg
03.02.17;0.00;100;0.00;Hamburg
04.02.17;0.00;62.38;294.96;K_ln
05.02.17;0.00;100;0.00;K_ln
06.02.17;0.56;67.00;246.65;Hamburg
07.02.17;0.00;77.75;102.34;Hamburg
08.02.17;0.00;81.79;50.71;Hamburg
09.02.17;0.00;83.33;144.28;Hamburg
10.02.17;0.00;53.00;342.84;Hamburg
11.02.17;0.07;81.21;43.49;Hamburg
12.02.17;0.00;35.83;374.22;Hamburg
13.02.17;0.00;0.00;513.04;Hamburg
14.02.17;0.00;0.00;517.10;Hamburg
15.02.17;0.00;2.00;497.30;Hamburg
16.02.17;0.00;87.62;0.00;Hamburg
17.02.17;0.00;100;0.00;Hamburg
18.02.17;0.00;96.25;53.62;Hamburg
19.02.17;0.00;98.58;0.00;Hamburg
20.02.17;0.00;100;0.00;Hamburg
21.02.17;0.00;96.54;118.1;Hamburg
22.02.17;0.00;85.66;68.94;Hamburg
23.02.17;0.00;100;0.00;Hamburg
24.02.17;1,1;52.58;400.05;Hamburg
25.02.17;0.00;83.33;0.00;Hamburg
26.02.17;0.00;91.83;0.00;Hamburg
27.02.17;0.00;85.14;0.00;Hamburg
28.02.17;0.00;49.75;371.80;Hamburg
01.03.17;0.00;61.00;199.79;Hamburg
02.03.17;0.00;97.88;284.6;Hamburg
03.03.17;0.00;88.25;0.00;Hamburg
04.03.17;0.00;58.65;273.55;Hamburg
05.03.17;0.00;63.25;208.69;Hamburg
06.03.17;0.00;100;0.00;Hamburg
07.03.17;0.00;96.25;53.62;Hamburg
08.03.17;0.00;91.79;0.00;Hamburg
09.03.17;0.00;94.71;73.40;Hamburg
10.03.17;0.00;73.46;247.52;Hamburg
11.03.17;0.00;55.57;232.30;Hamburg
12.03.17;0.00;39.65;348.00;Hamburg
13.03.17;0.00;85.35;23.53;Hamburg
14.03.17;0.00;91.25;120.00;Hamburg
15.03.17;0.00;69.00;307.40;Hamburg
16.03.17;0.00;20.23;607.37;Hamburg
17.03.17;0.00;91.46;93.36;Hamburg
18.03.17;0.00;76.64;55.53;Hamburg
19.03.17;0.00;83.77;0.00;Hamburg
20.03.17;0.00;100;0.00;Hamburg
21.03.17;0.00;59.46;166.55;Hamburg
22.03.17;0.00;35.37;651.69;Hamburg
23.03.17;0.00;79.25;0.00;Hamburg
24.03.17;0.00;46.9;769.30;Hamburg
25.03.17;0.00;34.60;528.60;Hamburg
26.03.17;0.00;46.82;444.01;Hamburg
27.03.17;0.00;0.00;811.02;Hamburg
28.03.17;0.00;14.79;726.87;Hamburg
29.03.17;0.00;90.12;0.00;Hamburg
30.03.17;0.00;83.17;201.06;Hamburg
31.03.17;0.00;77.17;241.91;Hamburg
01.04.17;0.00;81.04;43.27;Hamburg
02.04.17;0.00;72.00;274.04;Hamburg
03.04.17;0.00;37.50;593.73;Hamburg
04.04.17;0.00;42.00;707.72;Hamburg
05.04.17;0.00;74.51;199.15;Hamburg
06.04.17;0.00;80.54;239.94;Hamburg
07.04.17;0.00;100;0.00;Hamburg
08.04.17;0.00;73.04;109.79;Hamburg
09.04.17;0.00;29.43;544.60;Hamburg
10.04.17;0.00;73.10;64.63;Hamburg
11.04.17;0.00;75.54;220.85;Hamburg
12.04.17;0.00;100;0.00;Hamburg
13.04.17;0.00;100;0.00;Hamburg
14.04.17;0.00;96.25;53.62;Hamburg
15.04.17;0.00;77.12;283.87;Hamburg
16.04.17;0.00;62.42;495.55;Hamburg
17.04.17;0.00;83.71;151.79;Hamburg
18.04.17;0.00;41.83;497.76;Hamburg
19.04.17;0.00;20.36;559.95;Hamburg
20.04.17;0.00;24.87;558.99;Hamburg
21.04.17;0.00;94.75;13.40;Hamburg
22.04.17;0.00;36.58;684.29;Hamburg
23.04.17;0.00;63.28;290.49;Hamburg
24.04.17;0.00;94.29;44.69;Hamburg
25.04.17;0.63;55.62;363.59;Hamburg
26.04.17;0.00;12.00;840.08;Hamburg
27.04.17;0.00;21.54;619.29;Hamburg
28.04.17;0.00;70.92;145.54;Hamburg
29.04.17;0.00;29.83;717.39;Hamburg
30.04.17;0.00;6.00;853.00;Hamburg
01.05.17;0.00;78.73;81.86;Hamburg
02.05.17;0.00;94.62;30.00;Hamburg
03.05.17;0.00;96.25;53.62;Hamburg
04.05.17;0.00;100;0.00;Hamburg
05.05.17;0.00;100;0.00;Hamburg
06.05.17;0.00;63.55;292.48;Hamburg
07.05.17;0.00;63.22;351.18;Hamburg
08.05.17;0.00;76.62;162.13;Hamburg
09.05.17;0.00;39.25;598.82;Hamburg
10.05.17;0.00;94.04;0.01;Hamburg
11.05.17;0.00;70.60;374.36;Hamburg
12.05.17;0.00;96.12;51.70;Hamburg
13.05.17;0.00;91.71;115.53;Hamburg
14.05.17;0.00;50.78;432.07;Hamburg
15.05.17;0.00;53.80;544.98;Hamburg
16.05.17;0.00;100;0.00;Hamburg
17.05.17;0.00;64.26;226.26;Hamburg
18.05.17;0.00;40.45;478.17;Hamburg
19.05.17;0.00;84.79;145.53;Hamburg
20.05.17;0.00;76.00;171.22;Hamburg
21.05.17;0.00;59.39;392.15;Hamburg
22.05.17;0.00;43.15;444.07;Hamburg
23.05.17;0.00;67.34;455.07;Hamburg
24.05.17;0.00;49.34;590.91;Hamburg
25.05.17;0.00;34.71;734.17;Hamburg
26.05.17;0.00;34.17;672.38;Hamburg
27.05.17;0.00;0.00;979.01;Hamburg
28.05.17;0.00;30.53;667.07;Hamburg
29.05.17;0.00;48.05;662.52;Hamburg
30.05.17;0.00;68.92;431.41;Hamburg
31.05.17;0.00;35.12;668.16;Hamburg
01.06.17;0.00;17.00;1004.93;Hamburg
02.06.17;0.00;31.00;1019.42;Hamburg
03.06.17;0.00;78.85;55.20;Hamburg
04.06.17;0.00;53.08;615.51;Hamburg
05.06.17;0.00;45.61;477.61;Hamburg
06.06.17;0.00;76.37;54.52;Hamburg
07.06.17;0.00;93.62;284.6;Hamburg
08.06.17;0.00;85.56;0.00;Hamburg
09.06.17;0.00;78.66;144.72;Hamburg
10.06.17;0.00;69.59;431.36;Hamburg
11.06.17;0.00;61.70;491.60;Hamburg
12.06.17;0.00;60.92;283.80;Hamburg
13.06.17;0.00;72.42;243.06;Hamburg
14.06.17;0.00;10.00;;N챩nberg
15.06.17;0.00;50.00;;N챩nberg
16.06.17;0.00;100;;N챩nberg
17.06.17;0.00;80.00;;N챩nberg
18.06.17;0.00;60.71;;N챩nberg
19.06.17;0.00;80.00;;N챩nberg
